Date,llm_score,llm_reasoning
2001-02-22,-1,Maintains existing modest appreciation with no new action; text emphasizes moderating growth and contained underlying inflation despite strong prior-year growth.
2001-07-12,-4,"Explicit shift to neutral zero% policy amid recession language ('technically in recession'), subsiding inflation; clear easing action."
2001-10-10,-4,"Post-9/11 crisis response: widens band amid contraction (-3% GDP), subdued inflation; defensive/dovish framing throughout."
2002-01-02,-2,"Contraction acknowledged, inflation near zero, band restored narrower (technical) but zero% path maintained; mildly dovish tone."
2002-07-11,-1,"Recovery underway but inflation subdued/negative; maintains zero% path, no new easing or tightening."
2003-01-02,-1,"Sluggish outlook, low inflation, neutral stance maintained; balanced but softly dovish given weak growth language."
2003-07-10,-2,"SARS-hit economy, re-centres band down (technical easing), downside risks emphasized, subdued inflation."
2003-10-10,-1,"Recovery from SARS improving, but inflation still muted; policy unchanged, mildly dovish tone given cautious growth language."
2004-04-12,3,"First tightening in years: explicit shift from zero% to modest appreciation, robust GDP growth (11%), inflation forecast raised to 1.5-2%."
2004-10-11,2,"Maintains modest appreciation path; strong growth (9%+ YTD), inflation trending up, monetary conditions described as tightening."
2005-04-12,1,"Maintains appreciation path; inflation described as 'a concern over the medium term' with upside risks, growth support intact."
2005-10-11,1,"Maintains policy unchanged; inflation expected to rise next year, growth resilient despite headwinds."
2006-04-11,0,"Policy held steady; inflation projected higher but 'contained', growth described as strong/robust - balanced tone."
2006-10-10,0,"No change to policy; inflation 'well-contained', growth strong; balanced, steady-as-she-goes tone."
2007-04-10,-1,"Policy maintained; growth expected slower than 2006, downside risks flagged from US subprime, inflation low."
2007-10-10,3,"Explicit tightening: 'increase slightly the slope'; inflation revised up sharply (to 1.5-2%), robust growth cited."
2008-04-10,3,"Explicit tightening (re-centre upward) despite acknowledged growth slowdown risk, driven by inflation surging to 6.6%."
2008-10-10,-4,"Major easing: shift to zero% appreciation amid GFC; GDP contracting, inflation falling from peak; crisis-response dovish tone."
2009-04-14,-4,"Further easing: re-centres band downward; deep recession (GDP -19.7% q-o-q annualised), inflation forecast negative."
2009-10-12,-1,"Policy maintained at zero%; recovery underway but described as needing to be 'moderate', inflation still low."
2010-04-14,4,"Strong tightening: re-centres up AND shifts from zero% to modest appreciation; GDP surged 32% q-o-q, inflation forecast raised."
2010-10-14,3,"Tightening: slope increased slightly plus band widened; inflation rising toward 4%, growth strong (13-15% for year)."
2011-04-14,3,"Tightening: re-centres band upward; inflation elevated at 5.2%, tight labour market and cost pressures emphasized."
2011-10-14,-2,"Easing shift: slope reduced (first loosening after tightening cycle); growth weakening (Eurozone crisis), core inflation set to ease."
2012-04-13,1,"Slight tightening (slope increased, narrower band restored); inflation persistent though modest growth (1-3%) - mixed, mildly hawkish action."
